epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,42699,0.84837,0.33979,0.89256,0.99676,0.99496,0.99483,0.70128,1.10727,0.42419,0.85804,0.008614,0.008614,0.008614
44,43689.2,0.8418,0.33712,0.88822,0.99595,0.9927,0.99481,0.70012,1.12116,0.43114,0.86399,0.008581,0.008581,0.008581
45,44676.5,0.83757,0.33617,0.88876,0.99648,0.99407,0.9949,0.71557,1.07342,0.41044,0.85409,0.008548,0.008548,0.008548
46,45663.1,0.84056,0.3368,0.89084,0.99689,0.99489,0.99493,0.71187,1.0856,0.40313,0.85617,0.008515,0.008515,0.008515
47,46652.8,0.84049,0.33712,0.88931,0.99771,0.99493,0.99492,0.70813,1.0941,0.40573,0.85616,0.008482,0.008482,0.008482
48,47638.8,0.82854,0.3345,0.88906,0.99749,0.99513,0.99493,0.70786,1.10115,0.40549,0.86168,0.008449,0.008449,0.008449
49,48627.8,0.83596,0.33387,0.89109,0.99708,0.99495,0.99495,0.71321,1.08649,0.4071,0.85724,0.008416,0.008416,0.008416
50,49621.3,0.83182,0.33428,0.88446,0.99664,0.99523,0.99482,0.70565,1.10115,0.4243,0.86015,0.008383,0.008383,0.008383
51,50609,0.83517,0.33287,0.88851,0.99644,0.99509,0.99484,0.69921,1.1202,0.42738,0.86216,0.00835,0.00835,0.00835
52,51601.5,0.83209,0.33301,0.88668,0.99738,0.99495,0.99493,0.7153,1.08254,0.40399,0.85606,0.008317,0.008317,0.008317
53,52591,0.82882,0.33304,0.88614,0.99699,0.99489,0.99482,0.6891,1.15468,0.43677,0.86291,0.008284,0.008284,0.008284
54,53578.4,0.83143,0.3315,0.88665,0.9971,0.99527,0.99489,0.70956,1.09043,0.41285,0.85598,0.008251,0.008251,0.008251
55,54572,0.82337,0.32907,0.8843,0.99737,0.99516,0.9949,0.70732,1.0958,0.41395,0.85622,0.008218,0.008218,0.008218
56,55558.8,0.82269,0.3296,0.88491,0.99719,0.9954,0.99493,0.70355,1.11618,0.39979,0.85936,0.008185,0.008185,0.008185
57,56545.2,0.82233,0.32874,0.88698,0.99708,0.99514,0.99489,0.71137,1.08335,0.41258,0.85295,0.008152,0.008152,0.008152
58,57533.1,0.8224,0.32789,0.88618,0.99704,0.99503,0.99484,0.70052,1.11264,0.42045,0.85822,0.008119,0.008119,0.008119
59,58519.7,0.82048,0.32929,0.88629,0.99666,0.99454,0.99466,0.67695,1.18818,0.4458,0.86641,0.008086,0.008086,0.008086
60,59504.4,0.82208,0.32829,0.88722,0.99681,0.99529,0.99486,0.70359,1.10102,0.41693,0.85569,0.008053,0.008053,0.008053
61,60488,0.82296,0.32701,0.88682,0.9972,0.99543,0.99491,0.71339,1.08546,0.39564,0.85518,0.00802,0.00802,0.00802
62,61472.8,0.81986,0.32677,0.88556,0.99775,0.99554,0.99493,0.71387,1.08741,0.39251,0.85557,0.007987,0.007987,0.007987
63,62460.2,0.81509,0.32767,0.88235,0.99735,0.99542,0.99491,0.70892,1.08827,0.40452,0.854,0.007954,0.007954,0.007954
64,63447.4,0.81861,0.32851,0.88543,0.99736,0.99556,0.99489,0.71312,1.07631,0.40541,0.85225,0.007921,0.007921,0.007921
65,64436,0.81698,0.3257,0.88503,0.99664,0.99498,0.99482,0.68517,1.16045,0.43755,0.865,0.007888,0.007888,0.007888
66,65419.9,0.81325,0.32415,0.88749,0.99736,0.99563,0.99483,0.70953,1.08442,0.40553,0.85352,0.007855,0.007855,0.007855
67,66409.4,0.81484,0.32511,0.88586,0.99574,0.99383,0.99454,0.62886,1.34075,0.47884,0.88778,0.007822,0.007822,0.007822
68,67396.8,0.81389,0.32466,0.88378,0.99646,0.99472,0.99473,0.6579,1.23546,0.45133,0.87202,0.007789,0.007789,0.007789
69,68386.7,0.81741,0.32424,0.88453,0.99727,0.99559,0.9949,0.7123,1.07714,0.3984,0.85137,0.007756,0.007756,0.007756
70,69381.2,0.81084,0.32384,0.88444,0.99658,0.99506,0.99482,0.68039,1.17016,0.4403,0.8657,0.007723,0.007723,0.007723
71,70365.6,0.80623,0.32227,0.8831,0.99709,0.99557,0.99492,0.70095,1.10784,0.41024,0.85603,0.00769,0.00769,0.00769
72,71349.6,0.81772,0.32411,0.88687,0.99745,0.99597,0.99486,0.70019,1.12213,0.41124,0.85822,0.007657,0.007657,0.007657
73,72339,0.81052,0.32314,0.88335,0.99731,0.99521,0.99482,0.6777,1.19071,0.43191,0.86715,0.007624,0.007624,0.007624
74,73327.3,0.81391,0.324,0.88643,0.99684,0.99523,0.99482,0.67592,1.19229,0.43421,0.86715,0.007591,0.007591,0.007591
75,74314.1,0.8053,0.32007,0.88283,0.99538,0.99358,0.99467,0.62836,1.34797,0.49212,0.89452,0.007558,0.007558,0.007558
