epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,124623,0.92519,0.35505,0.9226,0.99806,0.9954,0.99479,0.69588,1.10838,0.40982,0.84062,0.008581,0.008581,0.008581
45,127443,0.92402,0.35385,0.92093,0.99773,0.99539,0.99479,0.69525,1.10952,0.41012,0.84071,0.008548,0.008548,0.008548
46,130292,0.91797,0.35142,0.92073,0.99779,0.99552,0.99478,0.69516,1.10801,0.40938,0.84058,0.008515,0.008515,0.008515
47,133102,0.92309,0.35206,0.92082,0.99802,0.99547,0.9948,0.69592,1.10653,0.40853,0.84033,0.008482,0.008482,0.008482
48,135941,0.91789,0.35211,0.91965,0.99773,0.99552,0.99481,0.69629,1.10422,0.40718,0.84026,0.008449,0.008449,0.008449
49,138767,0.91704,0.35411,0.91905,0.99763,0.99575,0.99481,0.69696,1.10439,0.40719,0.84024,0.008416,0.008416,0.008416
50,141595,0.91731,0.35098,0.91935,0.99767,0.99586,0.99482,0.69678,1.1036,0.40632,0.84013,0.008383,0.008383,0.008383
51,144430,0.91452,0.34923,0.91799,0.99804,0.99602,0.99482,0.69664,1.10239,0.40601,0.83992,0.00835,0.00835,0.00835
52,147279,0.91452,0.34848,0.91646,0.99801,0.99595,0.99482,0.69682,1.10301,0.40535,0.83995,0.008317,0.008317,0.008317
53,150111,0.91102,0.34809,0.91628,0.99784,0.99602,0.99482,0.69698,1.10196,0.40482,0.8399,0.008284,0.008284,0.008284
54,152963,0.91459,0.34797,0.91877,0.99768,0.99602,0.99482,0.69697,1.10191,0.40435,0.83985,0.008251,0.008251,0.008251
55,155791,0.91212,0.36448,0.91754,0.99773,0.99612,0.99482,0.69723,1.10139,0.40421,0.83987,0.008218,0.008218,0.008218
56,158636,0.90817,0.34545,0.91697,0.99759,0.99602,0.99482,0.69748,1.10104,0.40392,0.83985,0.008185,0.008185,0.008185
57,161478,0.91381,0.3486,0.91922,0.99745,0.99589,0.99481,0.69754,1.1008,0.40347,0.83981,0.008152,0.008152,0.008152
58,164290,0.91382,0.34866,0.91767,0.9974,0.99586,0.99481,0.69761,1.10097,0.40338,0.83987,0.008119,0.008119,0.008119
59,167114,0.91215,0.34758,0.91821,0.99751,0.99602,0.99481,0.69759,1.10066,0.40328,0.83982,0.008086,0.008086,0.008086
60,169954,0.90743,0.34601,0.91549,0.99764,0.99575,0.99481,0.69761,1.10045,0.40294,0.83983,0.008053,0.008053,0.008053
61,172788,0.91072,0.34705,0.91786,0.99756,0.99595,0.99481,0.69787,1.10018,0.40266,0.83977,0.00802,0.00802,0.00802
62,175629,0.90865,0.34537,0.91592,0.99784,0.9958,0.99481,0.69802,1.10019,0.40229,0.83969,0.007987,0.007987,0.007987
63,178438,0.9048,0.34525,0.91484,0.99762,0.99591,0.99481,0.69806,1.09999,0.40206,0.8397,0.007954,0.007954,0.007954
64,181263,0.90916,0.34572,0.91748,0.99767,0.99608,0.99482,0.69831,1.09979,0.4019,0.83965,0.007921,0.007921,0.007921
65,184107,0.9061,0.34651,0.91629,0.9976,0.99608,0.99482,0.69846,1.09974,0.40163,0.83961,0.007888,0.007888,0.007888
66,186922,0.90519,0.3446,0.91301,0.99782,0.99608,0.99482,0.69845,1.09971,0.40137,0.83957,0.007855,0.007855,0.007855
